sn,symbol,ltp,point change,open,high,low,volume,close

94,ILBS,650.00,-30.00,-4.41,670.00,670.00,643.90,"2,818.00",680.00
95,ILI,566.60,-20.00,-3.41,585.00,587.00,566.10,"107,474.00",586.60
96,JALPA,"1,205.00",-57.00,-4.52,"1,262.00","1,262.00","1,196.00","2,347.00","1,262.00"
97,JBBL,305.80,-13.40,-4.20,324.00,324.00,305.00,"111,050.00",319.20
98,JBLB,"1,524.00",-36.00,-2.31,"1,560.00","1,565.00","1,520.00","6,668.00","1,560.00"
99,JFL,369.00,-18.00,-4.65,387.00,394.60,369.00,"15,973.00",387.00
100,JOSHI,233.00,-1.60,-0.68,239.10,243.70,228.00,"37,379.00",234.60
101,JSLBB,919.00,-19.00,-2.03,920.00,922.00,867.30,"1,458.00",938.00
102,KBL,164.10,-4.90,-2.90,171.00,171.00,163.40,"243,515.00",169.00
103,KBLD89,"1,001.20",-18.80,-1.84,"1,000.50","1,015.00","1,000.50",130.00,"1,020.00"
104,KBSH,893.00,69.10,8.39,840.30,906.20,812.50,"4,625.00",823.90
105,KDBY,8.33,-0.22,-2.57,8.38,8.43,8.25,"7,600.00",8.55
106,KDL,890.00,-37.00,-3.99,911.10,939.00,880.00,"14,142.00",927.00
107,KEF,8.84,-0.17,-1.89,9.07,9.07,8.84,"4,350.00",9.01
108,KKHC,217.50,-8.20,-3.63,230.20,230.20,215.60,"27,579.00",225.70
109,KLBSL,806.10,-27.90,-3.35,820.00,820.00,801.10,531.00,834.00
110,KMCDB,664.00,-1.00,-0.15,656.70,676.90,640.10,"3,600.00",665.00
111,KPCL,356.00,-9.00,-2.47,372.00,372.00,350.00,"7,215.00",365.00
112,KRBL,334.00,-16.00,-4.57,345.00,356.00,333.10,"39,665.00",350.00
113,KSBBL,336.70,-12.30,-3.52,351.90,351.90,336.00,"79,341.00",349.00
114,LBBL,408.00,-19.00,-4.45,419.00,425.00,408.00,"50,222.00",427.00
115,LBLD86,973.00,-7.00,-0.71,973.00,973.00,973.00,25.00,980.00
116,LEC,189.00,-5.70,-2.93,198.50,204.50,188.00,"279,365.00",194.70
117,LEMF,9.04,-0.06,-0.66,9.01,9.09,9.01,"21,703.00",9.10
118,LICN,"1,483.00",-26.00,-1.72,"1,486.20","1,495.00","1,464.20","1,438.00","1,509.00"
119,LLBS,729.00,1.00,0.14,717.00,742.40,700.00,"4,450.00",728.00
120,LSL,200.00,-5.00,-2.44,208.00,208.00,199.10,"170,428.00",205.00
121,LUK,8.70,0.28,3.33,8.30,8.70,8.30,"86,200.00",8.42
122,LVF2,7.95,-0.08,-1.00,7.92,8.07,7.92,"2,950.00",8.03
123,MAKAR,300.00,-12.10,-3.88,313.00,315.00,295.00,"19,685.00",312.10
124,MANDU,651.00,59.00,9.97,581.00,651.20,581.00,"71,420.00",592.00
125,MBJC,303.00,9.00,3.06,292.00,312.00,288.80,"80,325.00",294.00
126,MBL,209.10,-6.40,-2.97,214.00,215.90,209.10,"77,170.00",215.50
127,MCHL,296.80,-0.20,-0.07,291.10,296.80,275.00,"36,220.00",297.00
128,MDB,404.00,-13.00,-3.12,409.00,419.90,401.00,"20,915.00",417.00
129,MEHL,253.50,-12.40,-4.66,261.00,261.00,252.00,"31,728.00",265.90
130,MEL,204.00,-8.00,-3.77,216.20,216.20,202.00,"102,576.00",212.00
131,MEN,614.00,35.90,6.21,589.60,626.00,565.00,"212,787.00",578.10
132,MERO,612.00,-18.00,-2.86,617.40,628.00,606.30,"21,906.00",630.00
133,MFIL,555.10,-13.90,-2.44,558.00,569.00,546.70,"77,231.00",569.00
134,MFLD85,959.80,18.80,2.00,940.00,959.80,940.00,77.00,941.00
135,MHCL,381.70,7.00,1.91,374.30,381.70,333.20,"114,985.00",367.00
136,MHL,418.00,3.00,0.72,411.00,418.00,380.00,"49,201.00",415.00
137,MHNL,238.40,-1.30,-0.54,235.00,249.00,231.00,"37,499.00",239.70
138,MKCL,316.30,28.70,9.98,288.10,316.30,288.10,"1,630.00",287.60
139,MKHC,243.00,-8.90,-3.53,248.00,254.00,238.10,"24,160.00",251.90
140,MKHL,297.00,-4.00,-1.33,295.00,307.00,291.00,"35,110.00",301.00
141,MKJC,376.00,-4.30,-1.13,382.00,382.60,375.10,"4,526.00",380.30
142,MKLB,678.00,26.10,4.00,650.00,689.00,637.00,"2,926.00",651.90
143,MLBBL,849.00,-16.00,-1.85,880.00,880.00,814.00,"3,142.00",865.00
144,MLBL,341.00,-10.00,-2.85,344.00,347.00,335.00,"88,332.00",351.00
145,MLBS,750.20,-39.80,-5.04,774.20,774.20,750.00,411.00,790.00
146,MLBSL,"1,900.00",-36.00,-1.86,"1,974.70","2,014.10","1,864.00",964.00,"1,936.00"
147,MMF1,7.98,0.04,0.50,8.00,8.00,7.44,"44,540.00",7.94
148,MMFDB,615.00,-21.10,-3.32,635.00,641.00,615.00,"4,831.00",636.10
149,MMKJL,328.00,10.00,3.14,320.00,339.00,311.80,"30,996.00",318.00
150,MNBBL,405.90,-11.00,-2.64,415.00,425.00,405.80,"85,125.00",416.90
151,MPFL,329.00,-15.00,-4.36,345.00,345.00,329.00,"30,426.00",344.00
152,MSHL,587.00,49.80,9.27,547.90,590.90,545.00,"34,980.00",537.20
153,MSLB,877.00,0.00,0.00,877.00,894.00,834.00,957.00,877.00
154,NABBC,382.00,-14.70,-3.71,402.00,402.00,382.00,"5,074.00",396.70
155,NABIL,523.00,3.00,0.58,520.00,525.00,520.00,"91,036.00",520.00
156,NADEP,543.90,-29.90,-5.21,573.00,573.00,543.90,"6,187.00",573.80
157,NBF2,8.37,-0.17,-1.99,8.38,8.54,8.37,"5,500.00",8.54
158,NBF3,7.58,-0.36,-4.53,7.99,7.99,7.44,"125,973.00",7.94
159,NBL,245.70,-9.30,-3.65,255.00,255.00,245.00,"148,662.00",255.00
160,NESDO,"1,712.00",-70.00,-3.93,"1,790.00","1,799.00","1,701.00","2,075.00","1,782.00"
